
"1","1","-50","-64","-56","-78"
"2","1","-39","-64","-56","-78"
"3","1","-41","-64","-56","-78"
"4","1","-40","-64","-56","-78"
"5","1","-40","-64","-56","-78"
"6","1","-40","-64","-56","-78"
"7","1","-40","-64","-83","-77"
"8","1","-40","-64","-83","-77"
"9","1","-41","-64","-83","-77"
"10","1","-41","-64","-83","-77"
"11","1","-41","-64","-83","-77"
"12","1","-53","-64","-83","-77"
"13","1","-58","-64","-83","-77"
"14","1","-52","-64","-83","-77"
"15","1","-53","-64","-83","-77"
"16","1","-49","-64","-83","-77"
"17","1","-51","-64","-83","-77"
"18","1","-49","-64","-83","-77"
"19","1","-44","-59","-83","-81"
"53","2","-80","-62","-83","-76"
"21","1","-41","-59","-83","-81"
"22","1","-44","-59","-83","-81"
"23","1","-58","-59","-83","-81"
"24","1","-64","-59","-83","-81"
"25","1","-61","-59","-83","-81"
"26","1","-60","-59","-83","-81"
"27","1","-58","-59","-83","-81"
"28","1","-57","-59","-83","-81"
"29","1","-58","-59","-83","-81"
"30","1","-58","-59","-83","-81"
"31","1","-58","-59","-83","-81"
"32","1","-57","-59","-83","-81"
"33","1","-52","-59","-83","-81"
"34","1","-50","-59","-83","-81"
"35","1","-47","-65","-91","-88"
"54","2","-79","-62","-83","-76"
"37","1","-44","-65","-91","-88"
"38","1","-46","-65","-91","-88"
"39","1","-50","-65","-91","-88"
"40","1","-52","-65","-91","-88"
"41","1","-55","-65","-91","-88"
"42","1","-55","-65","-91","-88"
"43","1","-49","-65","-91","-88"
"44","1","-47","-65","-91","-88"
"45","1","-47","-65","-91","-88"
"46","1","-47","-65","-91","-88"
"47","1","-47","-65","-91","-88"
"48","1","-50","-65","-91","-88"
"49","1","-48","-65","-91","-88"
"50","1","-49","-65","-91","-88"
"51","1","-47","-65","-91","-88"
"52","1","-50","-65","-91","-88"
"55","2","-81","-62","-83","-76"
"56","2","-82","-62","-83","-76"
"57","2","-78","-62","-83","-76"
"58","2","-81","-62","-83","-76"
"59","2","-80","-62","-83","-76"
"60","2","-81","-62","-83","-76"
"104","3","-82","-65","-73","-80"
"62","2","-81","-62","-83","-76"
"63","2","-78","-62","-83","-76"
"64","2","-79","-62","-83","-76"
"65","2","-84","-61","-71","-80"
"66","2","-80","-61","-71","-80"
"67","2","-80","-61","-71","-80"
"68","2","-82","-61","-71","-80"
"69","2","-80","-61","-71","-80"
"70","2","-81","-61","-71","-80"
"71","2","-80","-61","-71","-80"
"72","2","-81","-61","-71","-80"
"73","2","-83","-65","-71","-80"
"74","2","-82","-65","-71","-80"
"75","2","-79","-65","-71","-80"
"76","2","-79","-65","-71","-80"
"77","2","-85","-65","-71","-80"
"78","2","-86","-65","-71","-80"
"79","2","-83","-65","-71","-80"
"80","2","-80","-69","-77","-80"
"81","2","-74","-69","-77","-80"
"82","2","-76","-69","-77","-80"
"83","2","-81","-69","-77","-80"
"84","2","-85","-69","-77","-80"
"85","2","-83","-69","-77","-80"
"86","2","-83","-69","-77","-80"
"87","2","-83","-69","-77","-80"
"88","2","-84","-69","-77","-80"
"89","2","-80","-69","-77","-80"
"90","2","-85","-69","-77","-80"
"91","2","-87","-69","-77","-80"
"92","2","-84","-69","-77","-80"
"93","2","-84","-69","-77","-80"
"94","2","-81","-69","-77","-80"
"95","2","-75","-62","-85","-79"
"96","2","-81","-63","-73","-87"
"97","2","-83","-63","-73","-87"
"98","2","-82","-63","-73","-87"
"99","2","-81","-63","-73","-87"
"100","2","-81","-63","-73","-87"
"101","2","-81","-63","-73","-87"
"102","2","-84","-63","-73","-87"
"103","2","-84","-63","-73","-87"
"105","3","-83","-65","-73","-80"
"106","3","-84","-65","-73","-80"
"107","3","-82","-77","-51","-80"
"108","3","-83","-77","-51","-80"
"109","3","-84","-77","-51","-80"
"110","3","-73","-77","-44","-80"
"111","3","-73","-75","-44","-80"
"112","3","-73","-75","-44","-80"
"113","3","-73","-71","-44","-80"
"114","3","-73","-60","-44","-80"
"115","3","-73","-61","-44","-80"
"163","4","-44","-64","-78","-79"
"117","3","-73","-61","-44","-80"
"118","3","-73","-65","-44","-80"
"119","3","-73","-67","-44","-80"
"120","3","-75","-69","-42","-78"
"121","3","-75","-68","-42","-78"
"122","3","-75","-66","-42","-78"
"123","3","-75","-71","-42","-78"
"124","3","-75","-76","-41","-78"
"125","3","-75","-76","-41","-78"
"126","3","-75","-78","-41","-78"
"127","3","-75","-76","-41","-78"
"128","3","-75","-79","-41","-78"
"129","3","-75","-77","-41","-78"
"130","3","-75","-75","-41","-78"
"131","3","-75","-78","-41","-78"
"132","3","-75","-79","-41","-78"
"133","3","-75","-79","-41","-78"
"134","3","-75","-78","-41","-78"
"159","4","-44","-60","-78","-79"
"136","3","-83","-79","-40","-82"
"137","3","-83","-79","-40","-82"
"138","3","-83","-80","-40","-82"
"139","3","-83","-81","-40","-82"
"140","3","-83","-81","-40","-82"
"141","3","-83","-77","-40","-82"
"142","3","-83","-74","-40","-82"
"143","3","-83","-78","-40","-82"
"144","3","-83","-79","-40","-82"
"145","3","-83","-80","-40","-82"
"146","3","-83","-80","-40","-82"
"160","4","-44","-61","-78","-79"
"148","3","-83","-79","-40","-82"
"149","3","-52","-64","-40","-78"
"150","3","-52","-63","-40","-78"
"151","3","-52","-66","-40","-78"
"152","3","-52","-75","-40","-78"
"153","3","-52","-72","-40","-78"
"154","3","-52","-67","-40","-78"
"155","3","-52","-66","-40","-78"
"156","3","-52","-65","-40","-78"
"161","4","-44","-63","-78","-79"
"162","4","-44","-64","-78","-79"
"164","4","-68","-63","-78","-66"
"165","4","-68","-63","-78","-66"
"166","4","-68","-61","-78","-66"
"167","4","-68","-62","-78","-66"
"168","4","-68","-62","-78","-50"
"169","4","-68","-61","-78","-50"
"170","4","-68","-63","-78","-50"
"171","4","-68","-59","-78","-50"
"172","4","-68","-60","-78","-50"
"173","4","-68","-61","-78","-50"
"174","4","-68","-55","-78","-50"
"175","4","-68","-55","-78","-50"
"176","4","-68","-56","-78","-50"
"177","4","-68","-56","-78","-50"
